transaction_id,transaction_date,customer_id,Purchase_id,Product_Name,product_category,Sales_Channel,purchase_price,sale_price,discount_percentage,quantity_sold,Inventory_Status,region,Payment_Method
1,1/23/2026,1001,100001,UltimateGadget Pro,electronics,Oniline,949.47,388.04,2.77,371,Out of Stock,Abu Dhabi,Card
2,2/28/2025,1002,100002,InnoTech 3000,clothing,Oniline,918.72,1308.23,45.74,948,In Stock,Sharjah,Card
3,02/03/2026,1003,100003,PowerTech Max,appliances,Retail,284.14,514.84,10.06,863,Out of Stock,Ajman,Online
4,08/04/2025,1004,100004,UltimateGadget Pro,home goods,Retail,905.3,921.84,35.69,389,Out of Stock,Sharjah,Cash
5,1/25/2026,1005,100005,FutureTech 10000,home goods,,304.26,515.34,13.57,941,Low Stock,Abu Dhabi,Online
6,11/07/2025,1006,100006,GigaGadget 9000,electronics,,940.56,909.78,40.8,999,In Stock,Ajman,Cash
7,4/22/2025,1007,100007,UltimateGadget Pro,accessories,Oniline,566.58,965.32,33.92,398,Low Stock,Abu Dhabi,Card
8,11/10/2025,1008,100008,SmartTech Elite,clothing,Retail,123.62,575.83,40.66,2,In Stock,Ajman,Card
9,06/02/2025,1009,100009,,home goods,Retail,411.06,29.61,35.5,830,In Stock,Sharjah,Online
10,7/19/2025,1010,100010,PowerTech Max,appliances,Oniline,493.02,395.87,32.28,903,Low Stock,Sharjah,Online
11,5/25/2025,1011,100011,TechSavvy 5000,appliances,Oniline,231.15,1295.17,47.02,308,Out of Stock,Sharjah,Card
12,8/29/2025,1012,100012,MegaGizmo X,accessories,Oniline,199.42,136.15,11.23,813,Out of Stock,Abu Dhabi,Card
13,03/05/2025,1013,100013,GigaGadget 9000,appliances,Retail,73.18,1103.3,13.2,503,Out of Stock,Sharjah,Online
14,7/24/2025,1014,100014,FutureTech 10000,clothing,Retail,34,953.39,42.33,642,Out of Stock,Ajman,Online
15,10/20/2025,1015,100015,GigaGadget 9000,,Retail,322.59,715.39,11.34,967,In Stock,Dubai,Card
16,1/22/2026,1016,100016,FutureTech 10000,accessories,Retail,768.25,1119.64,34.59,673,Low Stock,Ajman,Cash
17,03/01/2026,1017,100017,GigaGadget 9000,clothing,,477.72,1462.54,0.49,264,Out of Stock,Ajman,Online
18,12/10/2025,1018,100018,InnoTech 3000,electronics,Oniline,992.61,744.82,,211,Out of Stock,Ajman,Cash
19,6/18/2025,1019,100019,SuperWidget 2000,clothing,Retail,838.36,359.05,3.54,389,In Stock,Abu Dhabi,Card
20,09/10/2025,1020,100020,,appliances,Oniline,892.62,723.7,11.95,775,Out of Stock,Ajman,Card
21,03/04/2025,1021,100021,MegaGizmo X,electronics,Oniline,694.14,1408.99,2.47,661,Low Stock,Sharjah,Online
22,10/26/2025,1022,100022,GigaGadget 9000,clothing,Oniline,261.09,549.73,27.58,376,Out of Stock,Dubai,Card
23,10/21/2025,1023,100023,GigaGadget 9000,clothing,Retail,218.67,166.1,47.59,256,In Stock,Sharjah,Cash
24,02/09/2026,1024,100024,EcoFriendly Tech,clothing,Oniline,868.75,351.08,13.81,151,Low Stock,Dubai,Online
25,9/29/2025,1025,100025,FutureTech 10000,accessories,Oniline,577.9,399.98,31.17,998,Low Stock,Sharjah,Online
26,1/31/2025,1026,100026,EcoFriendly Tech,home goods,Retail,731.18,842.26,18.07,931,Low Stock,Ajman,Cash
27,3/24/2026,1027,100027,SmartTech Elite,appliances,Retail,476.47,924.43,11.6,868,Out of Stock,Ajman,Card
28,1/22/2025,1028,100028,TechSavvy 5000,,Retail,491.06,339.35,18.41,550,,Abu Dhabi,Online
29,12/05/2025,1029,100029,UltimateGadget Pro,appliances,Oniline,139.26,280.73,23.95,988,Out of Stock,Sharjah,Card
30,06/05/2025,1030,100030,UltimateGadget Pro,,Oniline,19.95,1179.22,46.88,16,In Stock,Ajman,Cash
31,4/18/2025,1031,100031,SuperWidget 2000,home goods,Oniline,131.25,1459.91,2.62,643,In Stock,Abu Dhabi,Card
32,6/30/2025,1032,100032,EcoFriendly Tech,accessories,Oniline,17.62,1482.87,22.77,166,Out of Stock,,Cash
33,06/02/2025,1033,100033,,electronics,Retail,944.37,640.67,23.1,437,In Stock,,Online
34,2/26/2026,1034,100034,UltimateGadget Pro,appliances,Retail,183.15,234.14,34.27,637,Low Stock,Ajman,Online
35,9/30/2025,1035,100035,TechSavvy 5000,home goods,Retail,215.08,1303.16,38.23,657,Out of Stock,Sharjah,Card
36,05/11/2025,1036,100036,EcoFriendly Tech,home goods,Oniline,353.57,1395.62,0.07,921,Out of Stock,Dubai,Cash
37,03/10/2025,1037,100037,SmartTech Elite,clothing,Retail,271.62,316.93,19.76,91,Low Stock,Sharjah,Online
38,9/24/2025,1038,100038,PowerTech Max,accessories,Retail,357.1,687.44,45.69,537,Low Stock,Abu Dhabi,Cash
39,2/15/2025,1039,100039,GigaGadget 9000,accessories,Retail,128.91,291.29,26.96,486,In Stock,Abu Dhabi,Cash
40,1/16/2025,1040,100040,SuperWidget 2000,clothing,Retail,15.46,754.57,25.8,138,Out of Stock,Dubai,Online
41,02/03/2025,1041,100041,PowerTech Max,accessories,Retail,391.04,1146.65,47.87,573,Low Stock,Sharjah,Card
42,02/02/2025,1042,100042,,clothing,Retail,93.12,1056.6,46.38,129,In Stock,Dubai,Online
43,11/05/2025,1043,100043,MegaGizmo X,,Oniline,51.12,1285.47,30.5,102,In Stock,Ajman,Cash
44,08/04/2025,1044,100044,TechSavvy 5000,home goods,Retail,649.32,1055.92,43.86,77,In Stock,Dubai,Cash
45,3/28/2025,1045,100045,GigaGadget 9000,accessories,Oniline,415.01,398.51,15.02,492,Out of Stock,Abu Dhabi,Cash
46,6/23/2025,1046,100046,TechSavvy 5000,accessories,Retail,937.07,900.52,42.48,362,Low Stock,Abu Dhabi,Online
47,06/08/2025,1047,100047,FutureTech 10000,accessories,Oniline,180.06,1121.75,22.1,410,Out of Stock,Ajman,Cash
48,12/30/2025,1048,100048,UltimateGadget Pro,home goods,Retail,703.91,1146.08,49.41,499,Low Stock,Sharjah,Cash
49,02/10/2026,1049,100049,MegaGizmo X,clothing,,203.91,423.52,2.6,219,In Stock,Sharjah,Card
50,3/22/2026,1050,100050,TechSavvy 5000,electronics,Retail,788.09,55.96,12.78,38,,Ajman,Card
51,1/16/2026,1051,100051,TechSavvy 5000,appliances,Retail,458.48,1489.23,7.75,294,Low Stock,Abu Dhabi,Card
52,11/27/2025,1052,100052,GigaGadget 9000,clothing,Retail,790.6,733.77,6.58,519,In Stock,Sharjah,Cash
53,2/25/2026,1053,100053,InnoTech 3000,electronics,Retail,525.27,576.48,29.18,977,Low Stock,Sharjah,Card
54,12/15/2025,1054,100054,InnoTech 3000,accessories,Retail,345.5,402.44,24.65,524,In Stock,Abu Dhabi,Cash
55,08/08/2025,1055,100055,MegaGizmo X,accessories,Oniline,907.4,1480.1,,854,In Stock,Ajman,Card
56,04/01/2025,1056,100056,SmartTech Elite,appliances,Retail,291.04,487.1,1.9,52,Low Stock,,Online
57,04/04/2025,1057,100057,,appliances,Oniline,512.91,972.23,49.11,218,Low Stock,Ajman,Online
58,03/11/2025,1058,100058,FutureTech 10000,home goods,Oniline,124.22,982.54,15.93,883,In Stock,Dubai,Online
59,1/27/2025,1059,100059,FutureTech 10000,clothing,Retail,497.98,755.83,26.46,17,Out of Stock,Dubai,Online
60,12/26/2025,1060,100060,SuperWidget 2000,clothing,Oniline,450.94,671.31,21,751,In Stock,Sharjah,Cash
61,9/24/2025,1061,100061,SuperWidget 2000,,Retail,348.7,974.22,10.52,772,Out of Stock,Sharjah,Card
62,5/27/2025,1062,100062,PowerTech Max,,Oniline,372.31,641.46,28.48,796,Out of Stock,Sharjah,
63,10/11/2025,1063,100063,SmartTech Elite,accessories,Retail,803.16,1185.08,5.57,30,Low Stock,Ajman,Card
64,1/24/2025,1064,100064,PowerTech Max,appliances,Oniline,803.19,1360.67,31.62,611,Low Stock,,
65,2/21/2025,1065,100065,TechSavvy 5000,accessories,Retail,973.36,321.11,14.57,826,Out of Stock,Sharjah,Card
66,2/19/2026,1066,100066,MegaGizmo X,accessories,Oniline,231.63,1078.35,48.17,8,Out of Stock,Abu Dhabi,Online
67,1/16/2025,1067,100067,,,Oniline,372.56,1191.83,30.09,950,Low Stock,Dubai,Card
68,04/06/2025,1068,100068,PowerTech Max,accessories,Retail,693.98,694.74,,112,Out of Stock,Ajman,Card
69,06/03/2025,1069,100069,UltimateGadget Pro,electronics,Retail,337.77,745.31,4.7,280,In Stock,Sharjah,Card
70,10/08/2025,1070,100070,TechSavvy 5000,electronics,Retail,271.51,1352.68,,600,Low Stock,Ajman,Card
71,8/19/2025,1071,100071,TechSavvy 5000,home goods,Retail,244.57,1055.96,22.47,516,Low Stock,Dubai,
72,5/23/2025,1072,100072,InnoTech 3000,accessories,Oniline,847.92,117,36.38,901,In Stock,Abu Dhabi,Cash
73,03/06/2025,1073,100073,MegaGizmo X,home goods,Retail,351.58,871.58,16.19,366,In Stock,Abu Dhabi,Online
74,02/06/2026,1074,100074,UltimateGadget Pro,home goods,Oniline,678.07,436.01,29.04,434,In Stock,Sharjah,Cash
75,1/13/2026,1075,100075,UltimateGadget Pro,appliances,Oniline,605.58,1414.35,19.26,286,Out of Stock,Ajman,Online
